Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Health_Status,Health_Label,Action,Block_Name,Tilt_Offset_m,Tilt_Direction,Tilt_Angle_deg,Tilt_Status,Crown_Ellipticity,Crown_Px,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Status,SR_Ref_Corrected,SR_Area_Ha
272,109.2232756509761,-0.4607694264512741,3.95,0.374041199684143,0.6225,TBM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.799,N,11.43,Miring Ringan,1.142,15081,Suspect,Critical,Priority Survey,OK,398,3.0
410,109.22305513339604,-0.4612353220106539,3.95,0.4533676505088806,0.8328,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.473,SW,6.83,Tegak,1.089,12841,Normal,Moderate,Routine,OK,398,3.0
282,109.22319278210271,-0.4608136230110304,3.94,0.451465755701065,0.8277,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.282,SE,4.09,Tegak,1.195,12495,Normal,Moderate,Routine,OK,398,3.0
336,109.22367994111474,-0.4609977063503534,3.93,0.4826359152793884,0.9109,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.908,E,13.01,Miring Ringan,1.114,12150,Healthy,Good,None,OK,398,3.0
456,109.2229904665495,-0.4613871465189747,3.92,0.3813603818416595,0.6418,TBM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.398,NE,5.79,Tegak,1.183,14705,Suspect,Critical,Priority Survey,OK,398,3.0
572,109.22410978071126,-0.4617766244341619,3.9,0.3937801718711853,0.6746,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.117,SW,1.72,Tegak,1.081,13471,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
712,109.22388123855671,-0.461188809399136,3.87,0.4087558090686798,0.7142,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,,,,NoData,,0,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
324,109.22398113842831,-0.4609627418079636,3.84,0.5425583720207214,1.0,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.031,E,0.46,Tegak,1.136,12761,Healthy,Good,None,OK,398,3.0
167,109.22393903190246,-0.4603528649800104,3.83,0.3386861979961395,0.5294,TBM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.368,W,5.49,Tegak,1.0,16126,Suspect,Critical,Priority Survey,OK,398,3.0
514,109.22310517226651,-0.4615986678771363,3.82,0.4163756370544433,0.7344,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.173,NW,2.6,Tegak,1.081,10428,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
