Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy
335,109.2326286,-0.44847052,10.87,0.4146287441253662,Abnormal,Abnormal,Monitor,D009A,0.4146287441253662,Abnormal,Sub-Optimal,Monitor,D09
336,109.23159953,-0.44889122,10.86,0.4353438317775726,Normal,Normal,Routine,D009A,0.4353438317775726,Normal,Moderate,Routine,D09
337,109.23146888,-0.44490911,10.85,0.478007435798645,Healthy,Healthy,,D009A,0.478007435798645,Healthy,Good,,D09
338,109.23222736,-0.44349136,10.84,0.5477499961853027,Healthy,Healthy,,D009A,0.5477499961853027,Healthy,Good,,D09
339,109.23347372,-0.44721691,10.84,0.5716316103935242,Healthy,Healthy,,D009A,0.5716316103935242,Healthy,Good,,D09
340,109.23266224,-0.44299636,10.84,0.4399710893630981,Normal,Normal,Routine,D009A,0.4399710893630981,Normal,Moderate,Routine,D09
341,109.2335174,-0.44676749,10.83,0.4785085022449493,Healthy,Healthy,,D009A,0.4785085022449493,Healthy,Good,,D09
342,109.2317616,-0.44163653,10.82,0.4613622725009918,Healthy,Healthy,,D009A,0.4613622725009918,Healthy,Good,,D09
343,109.23271528,-0.44092282,10.82,0.478280633687973,Healthy,Healthy,,D009A,0.478280633687973,Healthy,Good,,D09
344,109.23199265,-0.44834738,10.82,0.5010534524917603,Healthy,Healthy,,D009A,0.5010534524917603,Healthy,Good,,D09
345,109.2319732,-0.44326025,10.81,0.4118172228336334,Abnormal,Abnormal,Monitor,D009A,0.4118172228336334,Abnormal,Sub-Optimal,Monitor,D09
346,109.23166441,-0.4442748,10.8,0.4869562089443207,Healthy,Healthy,,D009A,0.4869562089443207,Healthy,Good,,D09
347,109.23338624,-0.44491365,10.78,0.5173435211181641,Healthy,Healthy,,D009A,0.5173435211181641,Healthy,Good,,D09
348,109.23154816,-0.44768985,10.77,0.4068620502948761,Abnormal,Abnormal,Monitor,D009A,0.4068620502948761,Abnormal,Sub-Optimal,Monitor,D09
349,109.23284601,-0.4483399,10.76,0.4367803633213043,Normal,Normal,Routine,D009A,0.4367803633213043,Normal,Moderate,Routine,D09
350,109.23309897,-0.44039209,10.76,0.4613899886608124,Healthy,Healthy,,D009A,0.4613899886608124,Healthy,Good,,D09
351,109.23172311,-0.44483502,10.74,0.412987470626831,Abnormal,Abnormal,Monitor,D009A,0.412987470626831,Abnormal,Sub-Optimal,Monitor,D09
352,109.23214059,-0.44572993,10.74,0.5836652517318726,Healthy,Healthy,,D009A,0.5836652517318726,Healthy,Good,,D09
353,109.23253621,-0.44601578,10.74,0.3994596302509308,Abnormal,Abnormal,Monitor,D009A,0.3994596302509308,Abnormal,Sub-Optimal,Monitor,D09
354,109.23282517,-0.44342956,10.72,0.4696618914604187,Healthy,Healthy,,D009A,0.4696618914604187,Healthy,Good,,D09
355,109.23337898,-0.44335283,10.71,0.4475747346878052,Normal,Normal,Routine,D009A,0.4475747346878052,Normal,Moderate,Routine,D09
356,109.23346859,-0.44235496,10.7,0.4615004956722259,Healthy,Healthy,,D009A,0.4615004956722259,Healthy,Good,,D09
357,109.23249292,-0.4430022,10.7,0.4888940453529358,Healthy,Healthy,,D009A,0.4888940453529358,Healthy,Good,,D09
358,109.2316156,-0.44741812,10.7,0.4638960659503937,Healthy,Healthy,,D009A,0.4638960659503937,Healthy,Good,,D09
359,109.23251338,-0.4457151,10.67,0.5841739177703857,Healthy,Healthy,,D009A,0.5841739177703857,Healthy,Good,,D09
360,109.23189187,-0.44721563,10.67,0.3959557712078094,Abnormal,Abnormal,Monitor,D009A,0.3959557712078094,Abnormal,Sub-Optimal,Monitor,D09
361,109.23337597,-0.44088997,10.67,0.4626791775226593,Healthy,Healthy,,D009A,0.4626791775226593,Healthy,Good,,D09
362,109.23236276,-0.44826247,10.66,0.3989003896713257,Abnormal,Abnormal,Monitor,D009A,0.3989003896713257,Abnormal,Sub-Optimal,Monitor,D09
