Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name
796,109.23355186940564,-0.44638756386973805,0.0,0.4738585477736566,Normal,Normal,Routine,D009A
797,109.23136959254666,-0.4462753134134032,0.0,0.47488786121282506,Normal,Normal,Routine,D009A
798,109.2314714082854,-0.44630402688716353,0.0,0.4954560221301672,Normal,Normal,Routine,D009A
799,109.23173050376256,-0.44628525762793353,0.0,0.47309118682933854,Normal,Normal,Routine,D009A
800,109.23178448455118,-0.4463187351161102,0.0,0.521999894185659,Healthy,Healthy,None,D009A
801,109.23184140707019,-0.44631882485717583,0.0,0.49491542073888034,Normal,Normal,Routine,D009A
802,109.23202836008947,-0.44627980175713017,0.0,0.4972990380563572,Normal,Normal,Routine,D009A
803,109.23210349166658,-0.4462715519507871,0.0,0.47398877857359295,Normal,Normal,Routine,D009A
804,109.23224835318399,-0.44632042539783795,0.0,0.4685803559373218,Normal,Normal,Routine,D009A
805,109.23228695258662,-0.44630251246947017,0.0,0.44416541906312373,Normal,Normal,Routine,D009A
806,109.23236662507614,-0.4463200082031586,0.0,0.46815442635786314,Normal,Normal,Routine,D009A
807,109.23242328993587,-0.4462857101572807,0.0,0.49714596712388454,Normal,Normal,Routine,D009A
808,109.23249381435993,-0.44629976011145833,0.0,0.44780755010078815,Normal,Normal,Routine,D009A
809,109.23258163171262,-0.4462974962012017,0.0,0.48703787438079627,Normal,Normal,Routine,D009A
810,109.23273295766015,-0.44630695469269765,0.0,0.47930560269469896,Normal,Normal,Routine,D009A
811,109.2328180210796,-0.44629274886258874,0.0,0.44242053851256846,Normal,Normal,Routine,D009A
812,109.23290102402481,-0.44629293623837685,0.0,0.40839597378228654,Normal,Normal,Routine,D009A
813,109.23300050850695,-0.4462929358891445,0.0,0.4222216741738415,Normal,Normal,Routine,D009A
814,109.23317122711396,-0.44631060828047425,0.0,0.495356903427175,Normal,Normal,Routine,D009A
815,109.23322325986142,-0.4463204080825559,0.0,0.4984522857185233,Normal,Normal,Routine,D009A
816,109.23332999325055,-0.44630227740615996,0.0,0.46226569479371343,Normal,Normal,Routine,D009A
817,109.23342515718416,-0.44630179130293735,0.0,0.48272372645355044,Normal,Normal,Routine,D009A
818,109.23349831761398,-0.4463215434921022,0.0,0.48161660070760326,Normal,Normal,Routine,D009A
819,109.23177330681482,-0.446189401639267,0.0,0.48925118639548837,Normal,Normal,Routine,D009A
820,109.23184439317612,-0.4462275033195231,0.0,0.4530594763433176,Normal,Normal,Routine,D009A
821,109.23192901062342,-0.44619235567968624,0.0,0.4034799043567807,Normal,Normal,Routine,D009A
822,109.23204975919177,-0.4461950091706763,0.0,0.4845026917275364,Normal,Normal,Routine,D009A
823,109.2321160374898,-0.4462202731900894,0.0,0.46513190434815616,Normal,Normal,Routine,D009A
824,109.23218681007114,-0.44621071651986,0.0,0.45767613630170473,Normal,Normal,Routine,D009A
825,109.23245500774296,-0.4462111123850552,0.0,0.4399627255176489,Normal,Normal,Routine,D009A
826,109.23251065783398,-0.44622832920476,0.0,0.4391019416982717,Normal,Normal,Routine,D009A
827,109.23270537975921,-0.44621692519260037,0.0,0.4485452904940967,Normal,Normal,Routine,D009A
828,109.2329321791982,-0.44621967666942597,0.0,0.4568257597763894,Normal,Normal,Routine,D009A
829,109.23301231663078,-0.44622751913244074,0.0,0.4288963173699957,Normal,Normal,Routine,D009A
830,109.2332057207062,-0.44620916163875673,0.0,0.47711585184182126,Normal,Normal,Routine,D009A
831,109.23327496266494,-0.4462184600971316,0.0,0.44782891063558744,Normal,Normal,Routine,D009A
832,109.23337327945005,-0.4462295976941731,0.0,0.46287660068956094,Normal,Normal,Routine,D009A
833,109.23345994656495,-0.4462406836418849,0.0,0.4486828874173652,Normal,Normal,Routine,D009A
834,109.23140255244611,-0.4461526969151897,0.0,0.4692862300785041,Normal,Normal,Routine,D009A
835,109.231517527223,-0.44617277753075585,0.0,0.4466361071820788,Normal,Normal,Routine,D009A
836,109.23180325974731,-0.4461401463956825,0.0,0.44810811083374524,Normal,Normal,Routine,D009A
