Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Height_Class,Health_Status,Health_Label,Action,Block_Name,Classification_Abs,Health_Status_Abs,Action_Abs,Was_Reclassified
225,109.227240855046,-0.4450294703562121,8.2,0.4762923121452331,0.6862,TM,TM_Muda,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
97,109.22519991639298,-0.4461802040598683,8.2,0.3750263452529907,0.0954,TM,TM_Dewasa,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
35,109.22718828008291,-0.4453419669460536,8.17,0.5155842900276184,0.9174,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
94,109.22542134265844,-0.4461297049159383,8.16,0.4045102000236511,0.2667,TM,TM_Dewasa,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
64,109.22736165500314,-0.4457786028681681,8.16,0.3565853536128998,0.0,TM,TM_Dewasa,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
29,109.2271974484541,-0.4451834166463012,8.12,0.5056884288787842,0.8591,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
14,109.2272568284626,-0.4450501549861216,8.11,0.5565369129180908,1.0,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
148,109.22983799047296,-0.447082092682467,8.1,0.4946437478065491,0.794,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
142,109.2290984434714,-0.4469831049110619,8.09,0.3542495965957641,0.0,TM,TM_Dewasa,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
723,109.2273593756782,-0.445764815138795,8.08,0.3642992973327636,0.0332,TM,TM_Muda,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
141,109.2284547438678,-0.4469806507167031,8.08,0.4618229269981384,0.6013,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Healthy,Good,None,False
870,109.22552181648716,-0.4459688790802137,8.08,0.435792326927185,0.449,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
1428,109.22265006053348,-0.4468919198587585,8.07,0.4931967854499817,0.7855,TM,TM_Muda,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
587,109.22666551023008,-0.4455486478941816,8.06,0.3956970870494842,0.2154,TM,TM_Muda,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
