Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy,Reclassified,Was_TBM
413,109.2320402,-0.44295054,11.6,0.463,TM,Healthy,,D009A,0.463,Healthy,Good,None,D09,original,False
414,109.23199728,-0.44212762,11.6,0.528,TM,Healthy,,D009A,0.528,Healthy,Good,None,D09,original,False
415,109.23322329,-0.44075293,11.6,0.519,TM,Healthy,,D009A,0.519,Healthy,Good,None,D09,original,False
416,109.23190157,-0.44230213,11.6,0.454,TM,Healthy,,D009A,0.454,Normal,Moderate,Routine,D09,original,False
417,109.23226124,-0.44267298,11.6,0.468,TM,Healthy,,D009A,0.468,Healthy,Good,None,D09,original,False
418,109.23234067,-0.44860202,11.59,0.424,TM,Healthy,,D009A,0.424,Abnormal,Sub-Optimal,Monitor,D09,original,False
419,109.23206395,-0.44695433,11.59,0.492,TM,Healthy,,D009A,0.492,Healthy,Good,None,D09,original,False
420,109.23245829,-0.44317988,11.58,0.477,TM,Healthy,,D009A,0.477,Healthy,Good,None,D09,original,False
421,109.23304821,-0.44611357,11.58,0.494,TM,Healthy,,D009A,0.494,Healthy,Good,None,D09,original,False
422,109.23342677,-0.44634697,11.56,0.422,TM,Healthy,,D009A,0.422,Abnormal,Sub-Optimal,Monitor,D09,original,False
